ATMID,Location,Date,WithdrawalAmount,R10,R20,R50,R100,R200,Deposits,ClosingBalance,Downtime,IsPayday,IsMonthEnd,IsPublicHoliday
ATM-MALL-01,Mall,2026-08-01,16357,818,1636,2454,5725,5724,3240,486883,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-02,15424,771,1542,2314,5398,5399,3557,475016,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-03,16605,830,1660,2491,5812,5812,4283,462694,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-04,17004,850,1700,2551,5951,5952,3339,449029,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-05,15800,790,1580,2370,5530,5530,3248,436477,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-06,15280,764,1528,2292,5348,5348,4009,425206,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-07,14788,739,1479,2218,5176,5176,3518,413936,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-08,16384,819,1638,2458,5734,5735,4072,401624,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-09,22926,1146,2293,3439,8024,8024,4143,382841,FALSE,FALSE,FALSE,TRUE
ATM-MALL-01,Mall,2026-08-10,16792,840,1679,2519,5877,5877,3210,369259,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-11,16783,839,1678,2517,5874,5875,4317,356793,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-12,15591,780,1559,2339,5457,5456,3449,344651,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-13,17170,858,1717,2576,6010,6009,3739,331220,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-14,14957,748,1496,2244,5235,5234,3355,319618,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-15,29557,1478,2956,4434,10345,10344,4166,294227,FALSE,TRUE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-16,29376,1469,2938,4406,10282,10281,4368,269219,FALSE,TRUE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-17,28162,1408,2816,4224,9857,9857,4757,245814,FALSE,TRUE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-18,15689,784,1569,2353,5491,5492,4083,500000,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-19,16843,842,1684,2526,5895,5896,4190,487347,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-20,16926,846,1693,2539,5924,5924,4124,474545,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-21,16524,826,1652,2479,5783,5784,3273,461294,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-22,15303,765,1530,2295,5356,5357,3663,449654,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-23,14924,746,1492,2239,5223,5224,3572,438302,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-24,14979,749,1498,2247,5243,5242,3645,426968,FALSE,FALSE,FALSE,FALSE
ATM-MALL-01,Mall,2026-08-25,22478,1124,2248,3372,7867,7867,3784,408274,FALSE,FALSE,TRUE,FALSE
ATM-MALL-01,Mall,2026-08-26,21543,1077,2154,3231,7540,7541,3535,390266,FALSE,FALSE,TRUE,FALSE
ATM-MALL-01,Mall,2026-08-27,21180,1059,2118,3177,7413,7413,4699,373785,FALSE,FALSE,TRUE,FALSE
ATM-MALL-01,Mall,2026-08-28,22521,1126,2252,3378,7882,7883,4175,355439,FALSE,FALSE,TRUE,FALSE
ATM-MALL-01,Mall,2026-08-29,20842,1042,2084,3126,7295,7295,4367,338964,FALSE,FALSE,TRUE,FALSE
ATM-MALL-01,Mall,2026-08-30,20815,1041,2082,3122,7285,7285,3807,321956,FALSE,FALSE,TRUE,FALSE
