ATMID,Location,Date,WithdrawalAmount,R10,R20,R50,R100,R200,Deposits,ClosingBalance,Downtime,IsPayday,IsMonthEnd,IsPublicHoliday
ATM-TAXI-01,Taxi Rank,2026-08-01,6252,1250,1876,1876,938,312,305,144053,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-02,6267,1253,1880,1880,940,314,304,138090,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-03,5521,1104,1656,1656,828,277,279,132848,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-04,5539,1108,1662,1662,831,276,351,127660,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-05,6364,1273,1909,1909,955,318,340,121636,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-06,5815,1163,1744,1744,872,292,247,116068,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-07,6363,1273,1909,1909,954,318,354,110059,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-08,5602,1120,1681,1681,840,280,298,104755,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-09,7449,1490,2235,2235,1117,372,331,97637,FALSE,FALSE,FALSE,TRUE
ATM-TAXI-01,Taxi Rank,2026-08-10,6255,1251,1876,1876,938,314,255,145000,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-11,5976,1195,1793,1793,896,299,306,139330,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-12,5774,1155,1732,1732,866,289,345,133901,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-13,5926,1185,1778,1778,889,296,265,128240,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-14,6038,1208,1811,1811,906,302,328,122530,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-15,10474,2095,3142,3142,1571,524,277,112333,FALSE,TRUE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-16,11871,2374,3561,3561,1781,594,318,100780,FALSE,TRUE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-17,10891,2178,3267,3267,1634,545,302,90191,FALSE,TRUE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-18,5636,1127,1691,1691,845,282,267,84822,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-19,5845,1169,1754,1754,877,291,311,79288,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-20,5741,1148,1722,1722,861,288,266,73813,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-21,5588,1118,1676,1676,838,280,316,68541,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-22,5740,1148,1722,1722,861,287,349,63150,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-23,6345,1269,1904,1904,952,316,249,57054,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-24,5748,1150,1724,1724,862,288,320,51626,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-25,8589,1718,2577,2577,1288,429,256,43293,FALSE,FALSE,TRUE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-26,9627,1925,2888,2888,1444,482,309,33975,FALSE,FALSE,TRUE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-27,8961,1792,2688,2688,1344,449,334,25348,FALSE,FALSE,TRUE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-28,9443,1889,2833,2833,1416,472,263,16168,FALSE,FALSE,TRUE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-29,8420,1684,2526,2526,1263,421,292,8040,FALSE,FALSE,TRUE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-30,8336,1667,2501,2501,1250,417,296,0,TRUE,FALSE,TRUE,FALSE
